"No.","Time","Source","Destination","Protocol","Length","Info"
"57","0.488225","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","342","-> I (9690,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9691,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"58","0.488741","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9692,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9693,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"59","0.488750","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=183 Ack=8890 Win=65088 Len=0"
"60","0.489115","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","421","-> I (9694,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9695,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9696,1773) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9697,1773) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"61","0.489880","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9696) "
"62","0.489952","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1773,9698) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"63","0.490284","192.168.11.248","192.168.11.111","TCP","60","2404  >  49784 [ACK] Seq=9257 Ack=208 Win=4583 Len=0"
"64","0.490285","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","74","-> I (9698,1774) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"65","0.490498","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1774,9699) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"66","0.490810","192.168.11.248","192.168.11.111","IEC 60870-5-104","60","-> S (1775) "
"67","0.701876","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=227 Ack=9283 Win=64695 Len=0"
"68","0.826912","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1775,9699) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"69","0.827277","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","75","-> I (9699,1776) ASDU=65535 F_FR_NA_1 File    IOA=65537"
"70","0.827525","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1776,9700) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"71","0.827856","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","76","-> I (9700,1777) ASDU=65535 F_SR_NA_1 File    IOA=65537"
"72","0.889924","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1777,9701) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"73","0.890721","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9701,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9702,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"74","0.890722","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9703,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"75","0.890754","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=284 Ack=9895 Win=65088 Len=0"
"76","0.891042","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9704,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9705,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"77","0.891043","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9706,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"78","0.891043","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9707,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9708,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"79","0.891057","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=284 Ack=11000 Win=65088 Len=0"
"80","0.891393","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9709,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"81","0.891886","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9710,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9711,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"82","0.891898","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=284 Ack=11569 Win=64519 Len=0"
"83","0.892184","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9708) "
"84","0.892236","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9712,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"85","0.892874","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9713,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9714,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"86","0.892876","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9715,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"87","0.892889","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=290 Ack=12171 Win=65088 Len=0"
"88","0.893206","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9716,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9717,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"89","0.893456","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9716) "
"90","0.893789","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","342","-> I (9718,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9719,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"91","0.894362","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9720,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9721,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"92","0.894384","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=296 Ack=13531 Win=65088 Len=0"
"93","0.894754","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","421","-> I (9722,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9723,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9724,1778) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9725,1778) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"94","0.895852","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9724) "
"95","0.895924","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1778,9726) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"96","0.898264","192.168.11.248","192.168.11.111","TCP","60","2404  >  49784 [ACK] Seq=13898 Ack=321 Win=4470 Len=0"
"97","0.900270","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","74","-> I (9726,1779) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"98","0.900467","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1779,9727) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"99","0.900817","192.168.11.248","192.168.11.111","IEC 60870-5-104","60","-> S (1780) "
"100","1.107473","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=340 Ack=13924 Win=64695 Len=0"
"112","1.247973","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1780,9727) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"113","1.282069","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","75","-> I (9727,1781) ASDU=65535 F_FR_NA_1 File    IOA=65537"
"114","1.282319","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1781,9728) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"115","1.282647","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","76","-> I (9728,1782) ASDU=65535 F_SR_NA_1 File    IOA=65537"
"117","1.311353","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1782,9729) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"118","1.312536","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9729,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9730,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"119","1.312537","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9731,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"120","1.312572","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=397 Ack=14536 Win=65088 Len=0"
"121","1.312869","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9732,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9733,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"122","1.312870","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9734,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"123","1.312870","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9735,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9736,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"124","1.312883","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=397 Ack=15641 Win=65088 Len=0"
"125","1.313219","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9737,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"126","1.313701","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9738,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9739,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"127","1.313711","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=397 Ack=16210 Win=64519 Len=0"
"128","1.314046","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9740,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"129","1.314306","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9736) "
"130","1.315028","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9741,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9742,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"131","1.315030","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9743,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"132","1.315047","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=403 Ack=16812 Win=64519 Len=0"
"133","1.315359","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9744,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9745,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"134","1.315741","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9744) "
"135","1.316072","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","342","-> I (9746,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9747,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"136","1.318596","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9748,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9749,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"137","1.318619","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=409 Ack=18172 Win=65088 Len=0"
"138","1.318969","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","421","-> I (9750,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9751,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9752,1783) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9753,1783) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"139","1.319914","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9752) "
"140","1.319995","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1783,9754) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"141","1.320265","192.168.11.248","192.168.11.111","TCP","60","2404  >  49784 [ACK] Seq=18539 Ack=434 Win=4357 Len=0"
"142","1.320622","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","74","-> I (9754,1784) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"143","1.320724","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1784,9755) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"144","1.321065","192.168.11.248","192.168.11.111","IEC 60870-5-104","60","-> S (1785) "
"148","1.528652","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=453 Ack=18565 Win=64695 Len=0"
"149","1.669240","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1785,9755) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"150","1.669531","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","75","-> I (9755,1786) ASDU=65535 F_FR_NA_1 File    IOA=65537"
"151","1.669745","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1786,9756) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"152","1.670073","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","76","-> I (9756,1787) ASDU=65535 F_SR_NA_1 File    IOA=65537"
"155","1.732383","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1787,9757) ASDU=65535 F_SC_NA_1 File    IOA=65537"
"156","1.783245","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9757,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9758,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"157","1.783247","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9759,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"158","1.783247","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9760,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9761,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"159","1.783292","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=510 Ack=19713 Win=65088 Len=0"
"160","1.783590","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9762,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"161","1.783591","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9763,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9764,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"162","1.783603","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=510 Ack=20282 Win=64519 Len=0"
"163","1.783941","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9765,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"164","1.784404","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9766,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9767,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"165","1.784415","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=510 Ack=20851 Win=65088 Len=0"
"166","1.784754","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9764) "
"167","1.784755","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9768,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"168","1.785448","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9769,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9770,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"169","1.785449","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","87","-> I (9771,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"170","1.785463","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=516 Ack=21453 Win=65088 Len=0"
"171","1.785782","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9772,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9773,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"172","1.786079","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9772) "
"173","1.786406","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","342","-> I (9774,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9775,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"174","1.786980","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","590","-> I (9776,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9777,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537"
"175","1.787001","192.168.11.111","192.168.11.248","TCP","54","49784  >  2404 [ACK] Seq=522 Ack=22813 Win=65088 Len=0"
"176","1.787391","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","421","-> I (9778,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9779,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9780,1788) ASDU=65535 F_SG_NA_1 File    IOA=65537 | -> I (9781,1788) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"177","1.788273","192.168.11.111","192.168.11.248","IEC 60870-5-104","60","<- S (9780) "
"178","1.788345","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1788,9782) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"179","1.788916","192.168.11.248","192.168.11.111","TCP","60","2404  >  49784 [ACK] Seq=23180 Ack=547 Win=4244 Len=0"
"180","1.788917","192.168.11.248","192.168.11.111","IEC 60870-5 ASDU","74","-> I (9782,1789) ASDU=65535 F_LS_NA_1 File    IOA=65537"
"181","1.789111","192.168.11.111","192.168.11.248","IEC 60870-5 ASDU","73","<- I (1789,9783) ASDU=65535 F_AF_NA_1 File    IOA=65537"
"182","1.789426","192.168.11.248","192.168.11.111","IEC 60870-5-104","60","-> S (1790) "
